DATE,CACONSN
1993-01-01,425.2
1993-02-01,435.4
1993-03-01,446.8
1993-04-01,450.6
1993-05-01,459.1
1993-06-01,467.1
1993-07-01,472.9
1993-08-01,479.1
1993-09-01,478.9
1993-10-01,471.7
1993-11-01,466.2
1993-12-01,461.1
1994-01-01,435.6
1994-02-01,442.4
1994-03-01,457.0
1994-04-01,462.1
1994-05-01,467.1
1994-06-01,480.0
1994-07-01,488.6
1994-08-01,498.3
1994-09-01,505.6
1994-10-01,497.4
1994-11-01,490.7
1994-12-01,488.6
1995-01-01,446.2
1995-02-01,467.6
1995-03-01,474.1
1995-04-01,483.1
1995-05-01,493.0
1995-06-01,508.6
1995-07-01,511.3
1995-08-01,526.7
1995-09-01,531.9
1995-10-01,525.8
1995-11-01,524.7
1995-12-01,513.9
1996-01-01,484.4
1996-02-01,486.3
1996-03-01,490.8
1996-04-01,495.2
1996-05-01,511.2
1996-06-01,523.4
1996-07-01,524.7
1996-08-01,539.1
1996-09-01,543.4
1996-10-01,541.5
1996-11-01,540.8
1996-12-01,526.7
1997-01-01,500.9
1997-02-01,517.2
1997-03-01,529.6
1997-04-01,535.5
1997-05-01,549.5
1997-06-01,560.7
1997-07-01,574.0
1997-08-01,589.2
1997-09-01,593.8
1997-10-01,579.9
1997-11-01,571.8
1997-12-01,571.3
1998-01-01,547.4
1998-02-01,546.8
1998-03-01,568.7
1998-04-01,578.2
1998-05-01,595.8
1998-06-01,618.8
1998-07-01,637.2
1998-08-01,650.2
1998-09-01,655.1
1998-10-01,664.9
1998-11-01,663.9
1998-12-01,660.5
1999-01-01,632.0
1999-02-01,631.7
1999-03-01,646.9
1999-04-01,656.2
1999-05-01,672.9
1999-06-01,689.7
1999-07-01,705.5
1999-08-01,715.4
1999-09-01,719.2
1999-10-01,719.9
1999-11-01,715.8
1999-12-01,714.5
2000-01-01,678.2
2000-02-01,679.0
2000-03-01,691.5
2000-04-01,705.9
2000-05-01,721.8
2000-06-01,745.3
2000-07-01,750.2
2000-08-01,763.0
2000-09-01,769.9
2000-10-01,764.7
2000-11-01,765.2
2000-12-01,767.6
2001-01-01,738.8
2001-02-01,743.0
2001-03-01,760.2
2001-04-01,766.8
2001-05-01,783.1
2001-06-01,798.2
2001-07-01,800.3
2001-08-01,814.8
2001-09-01,804.8
2001-10-01,797.2
2001-11-01,785.1
2001-12-01,773.5
2002-01-01,736.2
2002-02-01,742.6
2002-03-01,753.1
2002-04-01,756.7
2002-05-01,770.9
2002-06-01,783.4
2002-07-01,783.5
2002-08-01,801.9
2002-09-01,798.2
2002-10-01,796.0
2002-11-01,790.4
2002-12-01,781.0
2003-01-01,755.1
2003-02-01,752.4
2003-03-01,765.0
2003-04-01,770.2
2003-05-01,788.7
2003-06-01,806.0
2003-07-01,811.0
2003-08-01,827.1
2003-09-01,826.7
2003-10-01,825.5
2003-11-01,819.4
2003-12-01,815.8
2004-01-01,792.9
2004-02-01,798.4
2004-03-01,811.7
2004-04-01,830.1
2004-05-01,842.6
2004-06-01,861.4
2004-07-01,875.3
2004-08-01,884.2
2004-09-01,887.0
2004-10-01,884.2
2004-11-01,871.6
2004-12-01,866.5
2005-01-01,823.9
2005-02-01,844.9
2005-03-01,862.4
2005-04-01,880.5
2005-05-01,895.1
2005-06-01,915.8
2005-07-01,931.6
2005-08-01,942.9
2005-09-01,947.5
2005-10-01,944.3
2005-11-01,940.2
2005-12-01,935.7
2006-01-01,904.0
2006-02-01,916.1
2006-03-01,914.7
2006-04-01,908.9
2006-05-01,941.0
2006-06-01,959.2
2006-07-01,958.1
2006-08-01,966.5
2006-09-01,962.9
2006-10-01,941.5
2006-11-01,924.0
2006-12-01,909.0
2007-01-01,874.8
2007-02-01,880.1
2007-03-01,894.2
2007-04-01,890.8
2007-05-01,903.7
2007-06-01,918.0
2007-07-01,918.9
2007-08-01,920.0
2007-09-01,905.5
2007-10-01,887.1
2007-11-01,869.1
2007-12-01,851.0
2008-01-01,803.5
2008-02-01,805.0
2008-03-01,803.9
2008-04-01,800.5
2008-05-01,803.8
2008-06-01,806.1
2008-07-01,803.4
2008-08-01,802.6
2008-09-01,788.6
2008-10-01,769.8
2008-11-01,744.4
2008-12-01,723.7
2009-01-01,674.6
2009-02-01,644.8
2009-03-01,644.3
2009-04-01,630.5
2009-05-01,632.4
2009-06-01,632.6
2009-07-01,621.8
2009-08-01,619.7
2009-09-01,607.7
2009-10-01,600.4
2009-11-01,594.5
2009-12-01,576.3
2010-01-01,550.9
2010-02-01,542.8
2010-03-01,549.4
2010-04-01,553.9
2010-05-01,562.5
2010-06-01,568.9
2010-07-01,572.6
2010-08-01,574.9
2010-09-01,566.9
2010-10-01,566.6
2010-11-01,560.6
2010-12-01,549.8
2011-01-01,532.8
2011-02-01,535.1
2011-03-01,534.4
2011-04-01,545.9
2011-05-01,554.4
2011-06-01,562.9
2011-07-01,578.8
2011-08-01,584.9
2011-09-01,584.2
2011-10-01,580.8
2011-11-01,575.7
2011-12-01,567.5
2012-01-01,556.4
2012-02-01,556.3
2012-03-01,559.3
2012-04-01,561.1
2012-05-01,579.1
2012-06-01,595.4
2012-07-01,605.9
2012-08-01,612.3
2012-09-01,613.4
2012-10-01,617.1
2012-11-01,615.7
2012-12-01,610.0
2013-01-01,598.0
2013-02-01,606.9
2013-03-01,613.0
2013-04-01,618.1
2013-05-01,628.4
2013-06-01,640.1
2013-07-01,652.8
2013-08-01,661.9
2013-09-01,658.5
2013-10-01,662.3
2013-11-01,660.5
2013-12-01,652.2
2014-01-01,638.3
2014-02-01,645.6
2014-03-01,651.8
2014-04-01,656.1
2014-05-01,667.7
2014-06-01,676.3
2014-07-01,686.2
2014-08-01,697.7
2014-09-01,697.2
2014-10-01,697.4
2014-11-01,696.3
2014-12-01,682.7
2015-01-01,681.6
2015-02-01,688.0
2015-03-01,698.6
2015-04-01,707.4
2015-05-01,720.1
2015-06-01,732.3
2015-07-01,749.8
2015-08-01,760.2
2015-09-01,756.1
2015-10-01,767.5
2015-11-01,765.7
2015-12-01,757.8
2016-01-01,737.7
2016-02-01,748.4
2016-03-01,744.5
2016-04-01,764.2
2016-05-01,770.1
2016-06-01,777.5
2016-07-01,794.4
2016-08-01,799.4
2016-09-01,797.6
2016-10-01,799.6
2016-11-01,792.4
2016-12-01,782.5
2017-01-01,746.8
2017-02-01,761.5
2017-03-01,780.7
2017-04-01,793.2
2017-05-01,806.3
2017-06-01,821.0
2017-07-01,830.9
2017-08-01,837.2
2017-09-01,837.9
2017-10-01,839.8
2017-11-01,835.9
2017-12-01,832.7
2018-01-01,814.7
2018-02-01,836.7
2018-03-01,829.7
2018-04-01,845.3
2018-05-01,854.6
2018-06-01,867.4
2018-07-01,876.3
2018-08-01,883.8
2018-09-01,881.6
2018-10-01,885.6
2018-11-01,877.2
2018-12-01,869.0
2019-01-01,842.8
2019-02-01,847.7
2019-03-01,860.8
2019-04-01,870.9
2019-05-01,882.2
2019-06-01,895.5
2019-07-01,904.5
2019-08-01,910.6
2019-09-01,905.2
2019-10-01,901.5
2019-11-01,892.7
2019-12-01,877.3
2020-01-01,861.5
2020-02-01,875.7
2020-03-01,858.5
2020-04-01,744.6
2020-05-01,826.8
2020-06-01,856.7
2020-07-01,849.3
2020-08-01,860.8
2020-09-01,861.1
2020-10-01,885.4
